Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,Unemployment Rate,Total Vehicle Sales,M2,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,Employment Level,Industrial Production: Total Index,US_Manufacturing_PMI,All-Transactions House Price Index for the United States
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,32.78500175476074,32.19499969482422,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.3617054087396927,93.88427079896694,63.607203147855905,0.0,0.0,0.0,71.5026818269269,0.470001220703125,5292644.471138237,9633172.64568077,35.040000915527344,32.24000040690104,32.26250076293945,-0.11431146969879798,32.33000183105469,-3.7118719422634037,-0.11406267883844216,0.6218373942719623,1,32.15999984741211,32.43000030517578,31.959999084472656,32.33000183105469,9213000,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,32.78500175476074,32.900001525878906,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.8953487340536899,93.88427079896694,63.607203147855905,0.07259258042034133,0.014518516084068268,0.05807406433627307,71.5026818269269,0.5078582763671875,12894726.208509823,9633172.64568077,35.040000915527344,33.01333491007487,33.07000160217285,-0.11228766740302856,33.2400016784668,-3.7482086319185126,-0.1120518525612139,0.6234210531823192,1,32.470001220703125,33.33000183105469,32.470001220703125,33.2400016784668,9614400,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,33.560001373291016,33.86000061035156,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.13333672418397097,93.88427079896694,63.607203147855905,0.17969392573107257,0.04755359801346913,0.13214032771760342,71.5026818269269,0.5372968401227679,13716347.102931451,9633172.64568077,35.040000915527344,33.86666742960612,33.8700008392334,-0.09859693320300333,33.880001068115234,-3.351331073529602,-0.09843726153186068,0.6340668914014427,1,33.79999923706055,34.15999984741211,33.560001373291016,33.880001068115234,12324000,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,33.790000915527344,33.85999870300293,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,-0.7285682366853583,93.88427079896694,63.607203147855905,0.2471984434308112,0.08748256709693755,0.15971587633387366,71.5026818269269,0.5489185488953883,10918763.313197335,9633172.64568077,35.040000915527344,33.8066660563151,33.77999973297119,-0.07779574747907836,33.70000076293945,-2.6270186173375407,-0.07771729893261552,0.6500136628987406,0,34.209999084472656,34.209999084472656,33.5099983215332,33.70000076293945,6119800,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,33.56999969482422,33.510000228881836,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,-0.38710014828122946,93.88427079896694,63.607203147855905,0.2765286108930667,0.12529177585616338,0.1512368350369033,71.5026818269269,0.5539957191089152,9133493.570566788,9633172.64568077,35.040000915527344,33.48666636149088,33.47499942779541,-0.09848126871522578,33.43999862670898,-3.303901432093774,-0.0983221581383622,0.6341563279869925,1,33.68000030517578,33.81999969482422,33.20000076293945,33.439998626708984,7906000,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,33.994998931884766,34.095001220703125,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.8598116180738271,93.88427079896694,63.607203147855905,0.3849038208599964,0.17721418485693,0.20768963600306642,71.5026818269269,0.599424770701582,17251340.868548207,9633172.64568077,35.040000915527344,34.2466672261556,34.322500228881836,-0.09411263501391585,34.54999923706055,-3.2612255875711664,-0.09397376764223682,0.6375281146265928,1,33.630001068115234,34.630001068115234,33.560001373291016,34.54999923706055,9545200,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,34.55500030517578,34.06500053405762,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.7238120842431093,93.88427079896694,63.607203147855905,0.4662246962785588,0.23501628714125575,0.23120840913730303,71.5026818269269,0.6316086611557937,24544829.96213915,9633172.64568077,35.040000915527344,34.230000813802086,34.312500953674316,-0.07360222862598398,34.560001373291016,-2.5482964036946534,-0.07353579254466855,0.6531946875457596,0,33.79999923706055,34.59000015258789,33.540000915527344,34.560001373291016,7735500,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,34.60500144958496,34.380001068115234,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.15625372529385154,93.88427079896694,63.607203147855905,0.5318040302599059,0.29437383576498577,0.2374301944949201,71.5026818269269,0.6322079989052684,28588596.924445134,9633172.64568077,35.040000915527344,34.470001220703125,34.51500129699707,-0.07422568308598974,34.65000152587891,-2.5766537545629986,-0.0741575447188975,0.6527224871451958,1,34.54999923706055,34.70000076293945,34.060001373291016,34.650001525878906,4792600,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,34.77000045776367,34.76499938964844,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.5531864813973123,93.88427079896694,63.607203147855905,0.5962685342752252,0.35475277546703365,0.24151575880819154,71.5026818269269,0.6206218004622581,31229547.512069315,9633172.64568077,35.040000915527344,34.8066660563151,34.82749938964844,-0.06239005606574306,34.88999938964844,-2.179617820208955,-0.06234958819520578,0.6616431975986979,1,34.630001068115234,35.0,34.529998779296875,34.88999938964844,4965000,9.9,11.772,8523.7,217.631,1711.9,138751.0,90.1356,400659.0,326.15
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,36.18963861898746,34.556000518798825,32.92236241861019,33.99800071716309,34.81500053405762,34.869998931884766,33.99800071716311,53.653961488283215,0.5544229898697282,0.0,100.0,100.0,0.1304380276317322,93.88427079896694,63.607203147855905,0.6280141996713127,0.4094050603078895,0.2186091393634232,71.5026818269269,0.6091487493201437,28062468.9921748,9633172.64568077,35.040000915527344,34.826666514078774,34.80500030517578,-0.0568051220634955,34.7400016784668,-1.9755353933691944,-0.056774576990172736,0.6658205457214906,1,34.68000030517578,35.099998474121094,34.63999938964844,34.7400016784668,5603400,9.9,11.772,8523.7,217.631,1711.9,138751.0,90.1356,400659.0,326.15
