Date,"('^GSPC', 'Open')","('^GSPC', 'High')","('^GSPC', 'Low')","('^GSPC', 'Close')","('^GSPC', 'Volume')",Bollinger_Bands_Upper,Bollinger_Bands_Middle,Bollinger_Bands_Lower,DEMA,Midpoint,Midpoint_Price,T3_Moving_Average,ADX,Absolute_Price_Oscillator,Aroon_Up,Aroon_Down,Aroon_Oscillator,Balance_of_Power,CCI,Chande_Momentum_Oscillator,MACD,MACD_Signal,MACD_Histogram,Money_Flow_Index,Normalized_Average_True_Range,Chaikin_A/D_Line,Chaikin_A/D_Oscillator,Median_Price,Typical_Price,Weighted_Closing_Price,Hilbert_Dominant_Cycle_Phase,Hilbert_Phasor_Components_Inphase,Hilbert_Phasor_Components_Quadrature,Hilbert_SineWave,Hilbert_LeadSineWave,Hilbert_Trend_vs_Cycle_Mode,Open,High,Low,Close,Volume,Unemployment Rate,Total Vehicle Sales,M2,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,Employment Level,Industrial Production: Total Index,US_Manufacturing_PMI,All-Transactions House Price Index for the United States
2010-02-17,1096.1400146484375,1101.030029296875,1094.719970703125,1099.510009765625,4259230000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,18.0,18.015000343322754,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,-0.48888860631800196,144.1327321251951,27.807576723094414,0.0,0.0,0.0,41.28919425720493,0.4499988555908203,-279058.20776589564,16364147.550785474,18.320000648498535,18.013333638509113,18.012500286102295,-0.529138727841936,18.010000228881836,-10.531539441112383,-0.5047900420893952,0.25346391781952854,1,18.229999542236328,18.239999771118164,17.790000915527344,18.010000228881836,12557300,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-18,1099.030029296875,1108.239990234375,1097.47998046875,1106.75,3878620000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,18.0,17.910000801086426,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.15384220371932741,144.1327321251951,27.807576723094414,-0.0015954781122005102,-0.00031909562244010204,-0.0012763824897604082,41.28919425720493,0.43642752511160715,5918948.845749859,16364147.550785474,18.320000648498535,17.93666712443034,17.950000286102295,-0.39095693872341947,17.989999771118168,-7.415009889578027,-0.3810733222078151,0.3842923810546585,1,17.950000762939453,18.040000915527344,17.780000686645508,17.989999771118164,10071900,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,18.140000343322754,18.0649995803833,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.9591866127418738,144.1327321251951,27.807576723094414,0.02110440073409592,0.003965603648867102,0.017138797085228814,41.28919425720493,0.4402541141120755,18019893.651336446,16364147.550785474,18.320000648498535,18.140000025431316,18.177500247955322,-0.37324699513955995,18.290000915527344,-7.162425652083073,-0.36464078275523815,0.4005812853785875,1,17.81999969482422,18.309999465942383,17.81999969482422,18.290000915527344,13176500,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,18.02500057220459,17.86500072479248,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,-0.6235299397502494,144.1327321251951,27.807576723094414,-0.003630556947609165,0.002446371529571849,-0.006076928477181014,41.28919425720493,0.469521704637622,12632481.212960608,16364147.550785474,18.320000648498535,17.830000559488933,17.812500476837158,-0.30701729898592467,17.76000022888184,-5.630663851681088,-0.3022167573737105,0.4603424058226979,0,18.290000915527344,18.290000915527344,17.440000534057617,17.760000228881836,21806100,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.484999656677246,17.300000190734863,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,-0.42857337484077007,144.1327321251951,27.807576723094414,-0.06684315859472179,-0.011411534495286878,-0.055431624099434904,41.28919425720493,0.4788416101256295,-2491910.458758248,16364147.550785474,18.320000648498535,17.269999821980793,17.25499963760376,-0.3445439150865101,17.209999084472653,-6.175939626849263,-0.3377674317715541,0.42671219213956235,1,17.329999923706055,17.440000534057617,17.15999984741211,17.209999084472656,23526600,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.354999542236328,17.4399995803833,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.6315797398973046,144.1327321251951,27.807576723094414,-0.09247297963122136,-0.027623823522473778,-0.06484915610874759,41.28919425720493,0.47463864342336637,2771969.558709088,16364147.550785474,18.320000648498535,17.459999720255535,17.46999979019165,-0.32712886002786806,17.5,-5.938100331535078,-0.3213254765243866,0.44239664782043886,1,17.260000228881836,17.6299991607666,17.25,17.5,16668800,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.5,17.145000457763672,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.4050624354158018,144.1327321251951,27.807576723094414,-0.11149950061843583,-0.04439895894166619,-0.06710054167676964,41.28919425720493,0.4971645200022219,31003028.28662974,16364147.550785474,18.320000648498535,17.263333638509113,17.322500228881836,-0.32688537641558263,17.499999999999996,-5.933349161659136,-0.32109489561389415,0.4426149955548275,1,17.18000030517578,17.540000915527344,16.75,17.5,31412100,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.5649995803833,17.56999969482422,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.45833233992164013,144.1327321251951,27.807576723094414,-0.11476536605303878,-0.05847224036394071,-0.05629312568909806,41.28919425720493,0.4959384501618009,36082912.914974555,16364147.550785474,18.320000648498535,17.589999516805012,17.59999942779541,-0.3158251563086775,17.62999916076661,-5.760821880169614,-0.3106009212945318,0.45250555076592,1,17.40999984741211,17.809999465942383,17.329999923706055,17.6299991607666,20319700,9.8,10.315,8527.6,216.741,1699.8,138581.0,89.5046,394215.0,326.15
2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.699999809265137,17.684999465942383,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,0.30434710497072726,144.1327321251951,27.807576723094414,-0.1048480304814845,-0.06774739838744948,-0.037100632094035024,41.28919425720493,0.47694281388140997,42504713.671281256,16364147.550785474,18.320000648498535,17.713333129882812,17.727499961853027,-0.30549505240175256,17.770000457763672,-5.604079379645539,-0.30076534261729027,0.4616932333192551,1,17.700000762939453,17.799999237060547,17.56999969482422,17.770000457763672,8688200,9.9,11.772,8523.7,217.631,1711.9,138751.0,90.1356,400659.0,326.15
2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,18.700648731178248,17.93350009918213,17.16635146718601,17.727000045776368,17.690000534057617,17.75,17.727000045776364,36.20401360107268,0.5657690488375167,42.85714285714286,100.0,57.14285714285714,-0.6590907120501456,144.1327321251951,27.807576723094414,-0.10864670946563848,-0.07592726060308727,-0.03271944886255121,41.28919425720493,0.47430394336909387,34245551.173340335,16364147.550785474,18.320000648498535,17.703333536783855,17.68000030517578,-0.2963951915995304,17.610000610351566,-5.377933642778309,-0.2920744890307603,0.4697459436568504,0,17.899999618530273,17.969999313354492,17.530000686645508,17.610000610351562,12978700,9.9,11.772,8523.7,217.631,1711.9,138751.0,90.1356,400659.0,326.15
