Date,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
12/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1198.5,74.94999694824219,74.37000274658203,4.388000011444092,2.0280001163482666
13/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1213.300048828125,77.1500015258789,76.6500015258789,4.354000091552734,2.0820999145507812
14/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1206.800048828125,77.04000091552734,76.7699966430664,4.306000232696533,2.066499948501587
15/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1208.0999755859375,76.62000274658203,76.7699966430664,4.585999965667725,2.060699939727783
16/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1188.0,76.01000213623047,75.37000274658203,4.519000053405762,2.0485999584198
19/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1181.699951171875,76.54000091552734,75.62000274658203,4.510000228881836,2.059000015258789
20/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1191.5,77.44000244140625,76.22000122070312,4.590000152587891,2.0785999298095703
21/07/2010,11.948,234.5,4.06,4.57,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1191.5999755859375,76.55999755859375,75.37000274658203,4.513000011444092,2.0678000450134277
22/07/2010,11.948,234.5,4.03,4.56,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1195.5,79.30000305175781,77.81999969482422,4.64300012588501,2.1466000080108643
23/07/2010,11.948,234.5,4.03,4.56,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1187.699951171875,78.9800033569336,77.44999694824219,4.579999923706055,2.1222000122070312
26/07/2010,11.948,234.5,4.03,4.56,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1183.0,78.9800033569336,77.5,4.611999988555908,2.105799913406372
27/07/2010,11.948,234.5,4.03,4.56,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1158.0,77.5,76.12999725341797,4.675000190734863,2.063199996948242
28/07/2010,11.948,234.5,4.03,4.56,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1160.4000244140625,76.98999786376953,76.05999755859375,4.77400016784668,2.0634000301361084
29/07/2010,11.948,234.5,4.0,4.54,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1168.4000244140625,78.36000061035156,77.58999633789062,4.827000141143799,2.097399950027466
30/07/2010,11.948,234.5,4.0,4.54,139179.0,9.4,1.6400434423899,0.18,-41609.0,218.011,1724.0,8639.8,92.2549,402326.0,283.0,144.986,326.33,546.0,1181.699951171875,78.94999694824219,78.18000030517578,4.922999858856201,2.106600046157837
02/08/2010,12.014,223.9,4.0,4.54,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1183.4000244140625,81.33999633789062,80.81999969482422,4.701000213623047,2.1684999465942383
03/08/2010,12.014,223.9,4.0,4.54,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1185.199951171875,82.55000305175781,82.68000030517578,4.638999938964844,2.19350004196167
04/08/2010,12.014,223.9,4.0,4.54,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1193.699951171875,82.47000122070312,82.19999694824219,4.736999988555908,2.174999952316284
05/08/2010,12.014,223.9,3.95,4.49,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1197.199951171875,82.01000213623047,81.61000061035156,4.5980000495910645,2.164400100708008
06/08/2010,12.014,223.9,3.95,4.49,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1203.4000244140625,80.69999694824219,80.16000366210938,4.4670000076293945,2.1126999855041504
09/08/2010,12.014,223.9,3.95,4.49,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1200.699951171875,81.4800033569336,80.98999786376953,4.309000015258789,2.1187000274658203
10/08/2010,12.014,223.9,3.95,4.49,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1196.199951171875,80.25,79.5999984741211,4.296999931335449,2.0852999687194824
11/08/2010,12.014,223.9,3.95,4.49,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1197.5,78.0199966430664,77.63999938964844,4.326000213623047,1.9975999593734741
12/08/2010,12.014,223.9,3.92,4.44,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1214.800048828125,75.73999786376953,75.5199966430664,4.296000003814697,1.954800009727478
13/08/2010,12.014,223.9,3.92,4.44,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1214.9000244140625,75.38999938964844,75.11000061035156,4.328000068664551,1.9395999908447266
16/08/2010,12.014,223.9,3.92,4.44,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1224.5,75.23999786376953,74.8499984741211,4.228000164031982,1.924299955368042
17/08/2010,12.014,223.9,3.92,4.44,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1226.5999755859375,75.7699966430664,76.93000030517578,4.267000198364258,1.9531999826431274
18/08/2010,12.014,223.9,3.92,4.44,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1229.699951171875,75.41999816894531,76.47000122070312,4.238999843597412,1.9611999988555908
19/08/2010,12.014,223.9,3.9,4.42,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1233.800048828125,74.43000030517578,75.30000305175781,4.171000003814697,1.9286999702453613
20/08/2010,12.014,223.9,3.9,4.42,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1227.199951171875,73.45999908447266,74.26000213623047,4.117000102996826,1.9250999689102173
23/08/2010,12.014,223.9,3.9,4.42,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1226.9000244140625,73.0999984741211,73.62000274658203,4.065999984741211,1.88100004196167
24/08/2010,12.014,223.9,3.9,4.42,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1231.800048828125,71.62999725341797,72.37999725341797,4.039000034332275,1.8494000434875488
25/08/2010,12.014,223.9,3.9,4.42,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1239.5,72.5199966430664,73.4800033569336,3.871000051498413,1.8638999462127686
26/08/2010,12.014,223.9,3.86,4.36,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1235.4000244140625,73.36000061035156,75.0199966430664,3.816999912261963,1.9084999561309814
27/08/2010,12.014,223.9,3.86,4.36,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1236.0,75.16999816894531,76.6500015258789,3.6510000228881836,1.9479000568389893
30/08/2010,12.014,223.9,3.86,4.36,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1237.0999755859375,74.69999694824219,76.5999984741211,3.812000036239624,1.9341000318527222
31/08/2010,12.014,223.9,3.86,4.36,139438.0,9.5,1.6400434423899,0.19,-45619.0,218.312,1748.7,8688.2,92.5936,408354.0,282.0,143.911,326.33,599.0,1248.300048828125,71.91999816894531,74.63999938964844,3.815999984741211,1.8894000053405762
01/09/2010,11.922,222.0,3.86,4.36,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1246.300048828125,73.91000366210938,76.3499984741211,3.76200008392334,1.8890999555587769
02/09/2010,11.922,222.0,3.83,4.32,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1251.5,75.0199966430664,76.93000030517578,3.750999927520752,1.9215999841690063
03/09/2010,11.922,222.0,3.83,4.32,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1249.199951171875,74.5999984741211,76.66999816894531,3.938999891281128,1.9194999933242798
07/09/2010,11.922,222.0,3.83,4.32,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1257.300048828125,74.08999633789062,77.73999786376953,3.8519999980926514,1.9328999519348145
08/09/2010,11.922,222.0,3.83,4.32,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1255.5999755859375,74.66999816894531,78.16999816894531,3.813999891281128,1.9393999576568604
09/09/2010,11.922,222.0,3.83,4.35,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1248.9000244140625,74.25,77.47000122070312,3.7679998874664307,1.9354000091552734
10/09/2010,11.922,222.0,3.83,4.35,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1244.5,76.44999694824219,78.16000366210938,3.882999897003174,1.973099946975708
13/09/2010,11.922,222.0,3.83,4.35,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1245.0999755859375,77.19000244140625,79.02999877929688,3.937999963760376,1.9805999994277954
14/09/2010,11.922,222.0,3.83,4.35,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1269.699951171875,76.80000305175781,79.16000366210938,3.9660000801086426,1.968999981880188
15/09/2010,11.922,222.0,3.83,4.35,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1266.699951171875,76.0199966430664,78.91000366210938,3.994999885559082,1.962499976158142
16/09/2010,11.922,222.0,3.82,4.37,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1271.9000244140625,74.56999969482422,78.4800033569336,4.061999797821045,1.9247000217437744
17/09/2010,11.922,222.0,3.82,4.37,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1275.5999755859375,73.66000366210938,78.20999908447266,4.02400016784668,1.9191999435424805
20/09/2010,11.922,222.0,3.82,4.37,139396.0,9.5,1.6400434423899,0.19,-44333.0,218.439,1766.2,8718.9,92.8533,422049.0,317.0,143.015,326.33,594.0,1279.0,74.86000061035156,79.31999969482422,3.822000026702881,1.9495999813079834
