,Cap Weighted Composite_Index,Total Vehicle Sales,Domestic Auto Production,15-Year Fixed Rate Mortgage Average in the United States,30-Year Fixed Rate Mortgage Average in the United States,Employment Level,Unemployment Rate,"Inflation, consumer prices for the United States",Federal Funds Effective Rate,"Trade Balance: Goods and Services, Balance of Payments Basis",Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,M1,M2,Industrial Production: Total Index,US_Manufacturing_PMI,New One Family Houses Sold,S&P CoreLogic Case-Shiller U.S. National Home Price Index,All-Transactions House Price Index for the United States,New Privately-Owned Housing Units Started: Total Units,GC=F,CL=F,BZ=F,NG=F,RB=F
Cap Weighted Composite_Index,1.0,0.7958889205947551,0.8691579183180814,-0.7981607717465942,-0.7960623878863484,0.8614877683131987,-0.8583800572989281,-0.6911626653203911,0.37981596807733803,0.33966709079612806,0.8243071042661381,0.8034485835711512,0.8027490356967898,0.8209800988725565,0.5923869151269876,0.6966418888656747,0.3392418971764228,-0.14513349482967478,0.7130425552297188,0.45907268706313675,0.03726369385575766,0.24553941230783352,-0.7466124113369171,0.37787703563676756
Total Vehicle Sales,0.7958889205947551,1.0,0.9217459089626232,-0.8551204798398216,-0.8636925815268229,0.9504115287323103,-0.943228708018934,-0.7963612371493805,0.3902841089352002,0.5709098180898966,0.8057790535238123,0.9080441472081362,0.9120748827668261,0.9266177606530804,0.7663161931497204,0.9087691561464918,0.5793763543037436,0.18476992742196005,0.881895812862313,0.4241677801753918,-0.05210825489713077,0.1346412559213397,-0.5711890877989657,0.17089574272928226
Domestic Auto Production,0.8691579183180814,0.9217459089626232,1.0,-0.9337407512462356,-0.9307417465059468,0.9600561667738112,-0.954986089790832,-0.7623622604863375,0.3014236260562605,0.4304292138314073,0.8924613124346839,0.9485214433464494,0.9488501479124988,0.9788154310947402,0.784197062378067,0.8587521386612298,0.45705424105083825,-0.0031753201682790627,0.8484231657320355,0.5243332523100077,-0.10394587590554155,0.12137482921500216,-0.6953625449373875,0.21228506127611613
15-Year Fixed Rate Mortgage Average in the United States,-0.7981607717465942,-0.8551204798398216,-0.9337407512462356,1.0,0.9946190656491155,-0.9424828748581838,0.9126954619950685,0.6961873299854963,-0.2123908329460774,-0.45294558139732316,-0.9034198398413652,-0.978044960576473,-0.9730979662226548,-0.9577965192066766,-0.7536864242689115,-0.8324563370361394,-0.48460658525275035,-0.0421456494114854,-0.8714073680167785,-0.6470823921225232,0.2629089588038848,-0.06649059347953717,0.5578087649135351,-0.10967074188168455
30-Year Fixed Rate Mortgage Average in the United States,-0.7960623878863484,-0.8636925815268229,-0.9307417465059468,0.9946190656491155,1.0,-0.9453667890394355,0.9118372001015785,0.708286151984627,-0.2528270933464125,-0.4532389453549283,-0.8677823886412502,-0.9699630475627761,-0.9613439836524085,-0.9506568495622013,-0.738187291177234,-0.8316583561137685,-0.4764053092307243,-0.08000945435973228,-0.8730685126777301,-0.6329422263453448,0.281353236844299,-0.021217745618855564,0.56579335760009,-0.04808079481755577
Employment Level,0.8614877683131987,0.9504115287323103,0.9600561667738112,-0.9424828748581838,-0.9453667890394355,1.0,-0.9832183820146156,-0.8078872796050061,0.41331706209614444,0.5432822925900247,0.8925115247705334,0.9701363468277183,0.9690870796421494,0.9669134306730344,0.7615888248340038,0.905492843354,0.599432953181379,0.1261652139560961,0.9191240233872091,0.4946245159944326,-0.14790403792234685,0.0914471636185443,-0.5728643706350947,0.1690864021944571
Unemployment Rate,-0.8583800572989281,-0.943228708018934,-0.954986089790832,0.9126954619950685,0.9118372001015785,-0.9832183820146156,1.0,0.7770389733342409,-0.382140506145326,-0.5098586308185471,-0.8928794183034807,-0.9527592566782567,-0.9539725398870588,-0.9553242392122874,-0.7582412694674354,-0.8947868347099031,-0.605426511762574,-0.11758707773680414,-0.9205029668287051,-0.45312952926366556,0.09805816966263604,-0.12105729260242933,0.5499062066582401,-0.21057861514532777
"Inflation, consumer prices for the United States",-0.6911626653203911,-0.7963612371493805,-0.7623622604863375,0.6961873299854963,0.708286151984627,-0.8078872796050061,0.7770389733342409,1.0,-0.5981018201049202,-0.571305993531662,-0.6164843752450496,-0.7234228275835342,-0.7356301354351573,-0.7847915257072446,-0.4708009562975126,-0.8638355182075745,-0.6421672642549895,-0.36976936935015253,-0.7216948646659412,-0.16596689277726898,0.0979351543198772,0.08812405943924284,0.48240281641126787,-0.11022908579437092
Federal Funds Effective Rate,0.37981596807733803,0.3902841089352002,0.3014236260562605,-0.2123908329460774,-0.2528270933464125,0.41331706209614444,-0.382140506145326,-0.5981018201049202,1.0,0.47521164894201334,0.13098804551457024,0.25742498907265265,0.2595992570640252,0.2907801465550393,-0.039599909774975954,0.419201681511851,0.5829882172002796,0.44694544645290835,0.36216003403675673,-0.3102791925169791,-0.300091445263225,-0.4011805360580579,-0.13498999524131572,-0.18380628028090187
"Trade Balance: Goods and Services, Balance of Payments Basis",0.33966709079612806,0.5709098180898966,0.4304292138314073,-0.45294558139732316,-0.4532389453549283,0.5432822925900247,-0.5098586308185471,-0.571305993531662,0.47521164894201334,1.0,0.4402615917735297,0.5235519833785828,0.542352675486863,0.5026324136356012,0.23527763228454662,0.6321798458670066,0.766717373765177,0.5020461727440577,0.6198689439768906,0.07493226914235085,-0.29637070623263795,-0.16388877752543368,0.030756698475275637,0.00979962584734288
