,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
,Open,High,Low,Close,Volume
Date,,,,,
01/12/2010,1186.5999755859375,1207.6099853515625,1186.5999755859375,1206.0699462890625,4548110000
02/12/2010,1206.81005859375,1221.8900146484375,1206.81005859375,1221.530029296875,4970800000
03/12/2010,1219.9300537109375,1225.5699462890625,1216.8199462890625,1224.7099609375,3735780000
06/12/2010,1223.8699951171875,1225.800048828125,1220.6700439453125,1223.1199951171875,3527370000
07/12/2010,1227.25,1235.050048828125,1223.25,1223.75,6970630000
08/12/2010,1225.02001953125,1228.9300537109375,1219.5,1228.280029296875,4607590000
09/12/2010,1230.1400146484375,1234.7099609375,1226.8499755859375,1233.0,4522510000
10/12/2010,1233.8499755859375,1240.4000244140625,1232.5799560546875,1240.4000244140625,4547310000
13/12/2010,1242.52001953125,1246.72998046875,1240.3399658203125,1240.4599609375,4361240000
14/12/2010,1241.8399658203125,1246.5899658203125,1238.1700439453125,1241.5899658203125,4132350000
15/12/2010,1241.5799560546875,1244.25,1234.010009765625,1235.22998046875,4407340000
16/12/2010,1236.3399658203125,1243.75,1232.8499755859375,1242.8699951171875,4736820000
17/12/2010,1243.6300048828125,1245.81005859375,1239.8699951171875,1243.9100341796875,4632470000
20/12/2010,1245.760009765625,1250.199951171875,1241.510009765625,1247.0799560546875,3548140000
21/12/2010,1249.4300537109375,1255.8199462890625,1249.4300537109375,1254.5999755859375,3479670000
22/12/2010,1254.93994140625,1259.3900146484375,1254.93994140625,1258.8399658203125,1285590000
23/12/2010,1257.530029296875,1258.5899658203125,1254.050048828125,1256.77001953125,2515020000
27/12/2010,1254.6600341796875,1258.4300537109375,1251.47998046875,1257.5400390625,1992470000
28/12/2010,1259.0999755859375,1259.9000244140625,1256.219970703125,1258.510009765625,2478450000
29/12/2010,1258.780029296875,1262.5999755859375,1258.780029296875,1259.780029296875,2214380000
30/12/2010,1259.43994140625,1261.0899658203125,1256.3199462890625,1257.8800048828125,1970720000
31/12/2010,1256.760009765625,1259.3399658203125,1254.18994140625,1257.6400146484375,1799770000
03/01/2011,1257.6199951171875,1276.1700439453125,1257.6199951171875,1271.8699951171875,4286670000
04/01/2011,1272.949951171875,1274.1199951171875,1262.6600341796875,1270.199951171875,4796420000
05/01/2011,1268.780029296875,1277.6300048828125,1265.3599853515625,1276.56005859375,4764920000
06/01/2011,1276.2900390625,1278.1700439453125,1270.4300537109375,1273.8499755859375,4844100000
07/01/2011,1274.4100341796875,1276.8299560546875,1261.699951171875,1271.5,4963110000
10/01/2011,1270.8399658203125,1271.52001953125,1262.1800537109375,1269.75,4036450000
11/01/2011,1272.5799560546875,1277.25,1269.6199951171875,1274.47998046875,4050750000
12/01/2011,1275.6500244140625,1286.8699951171875,1275.6500244140625,1285.9599609375,4226940000
13/01/2011,1285.780029296875,1286.699951171875,1280.469970703125,1283.760009765625,4310840000
14/01/2011,1282.9000244140625,1293.239990234375,1281.239990234375,1293.239990234375,4661590000
18/01/2011,1293.219970703125,1296.06005859375,1290.1600341796875,1295.02001953125,5284990000
19/01/2011,1294.52001953125,1294.5999755859375,1278.9200439453125,1281.9200439453125,4743710000
20/01/2011,1280.8499755859375,1283.3499755859375,1271.260009765625,1280.260009765625,4935320000
21/01/2011,1283.6300048828125,1291.2099609375,1282.0699462890625,1283.3499755859375,4935320000
24/01/2011,1283.2900390625,1291.9300537109375,1282.469970703125,1290.8399658203125,3902470000
25/01/2011,1288.1700439453125,1291.260009765625,1281.0699462890625,1291.1800537109375,4595380000
26/01/2011,1291.969970703125,1299.739990234375,1291.969970703125,1296.6300048828125,4730980000
27/01/2011,1297.510009765625,1301.2900390625,1294.4100341796875,1299.5400390625,4309190000
28/01/2011,1299.6300048828125,1302.6700439453125,1275.0999755859375,1276.3399658203125,5618630000
31/01/2011,1276.5,1287.1700439453125,1276.5,1286.1199951171875,4167160000
01/02/2011,1289.1400146484375,1308.8599853515625,1289.1400146484375,1307.5899658203125,5164500000
02/02/2011,1305.9100341796875,1307.6099853515625,1302.6199951171875,1304.030029296875,4098260000
03/02/2011,1302.77001953125,1308.5999755859375,1294.8299560546875,1307.0999755859375,4370990000
04/02/2011,1307.010009765625,1311.0,1301.6700439453125,1310.8699951171875,3925950000
07/02/2011,1311.8499755859375,1322.8499755859375,1311.8499755859375,1319.050048828125,3902270000
08/02/2011,1318.760009765625,1324.8699951171875,1316.030029296875,1324.5699462890625,3881530000
09/02/2011,1322.47998046875,1324.5400390625,1314.8900146484375,1320.8800048828125,3922240000
10/02/2011,1318.1300048828125,1322.780029296875,1311.739990234375,1321.8699951171875,4184610000
11/02/2011,1318.6600341796875,1330.7900390625,1316.0799560546875,1329.1500244140625,4219300000
14/02/2011,1328.72998046875,1332.9599609375,1326.9000244140625,1332.3199462890625,3567040000
15/02/2011,1330.4300537109375,1330.4300537109375,1324.6099853515625,1328.010009765625,3926860000
16/02/2011,1329.510009765625,1337.6099853515625,1329.510009765625,1336.3199462890625,1966450000
17/02/2011,1334.3699951171875,1341.5,1331.0,1340.4300537109375,1966450000
18/02/2011,1340.3800048828125,1344.0699462890625,1338.1199951171875,1343.010009765625,1162310000
22/02/2011,1338.9100341796875,1338.9100341796875,1312.3299560546875,1315.43994140625,1322780000
23/02/2011,1315.43994140625,1317.9100341796875,1299.550048828125,1307.4000244140625,1330340000
24/02/2011,1307.0899658203125,1310.9100341796875,1294.260009765625,1306.0999755859375,1222900000
25/02/2011,1307.3399658203125,1320.6099853515625,1307.3399658203125,1319.8800048828125,3836030000
28/02/2011,1321.6099853515625,1329.3800048828125,1320.550048828125,1327.219970703125,1252850000
01/03/2011,1328.6400146484375,1332.0899658203125,1306.1400146484375,1306.3299560546875,1180420000
02/03/2011,1305.469970703125,1314.18994140625,1302.5799560546875,1308.43994140625,1025000000
03/03/2011,1312.3699951171875,1332.280029296875,1312.3699951171875,1330.969970703125,4340470000
04/03/2011,1330.72998046875,1331.0799560546875,1312.5899658203125,1321.1500244140625,4223740000
07/03/2011,1322.719970703125,1327.6800537109375,1303.989990234375,1310.1300048828125,3964730000
08/03/2011,1311.050048828125,1325.739990234375,1306.8599853515625,1321.8199462890625,4531420000
09/03/2011,1319.9200439453125,1323.2099609375,1312.27001953125,1320.02001953125,3709520000
10/03/2011,1315.719970703125,1315.719970703125,1294.2099609375,1295.1099853515625,4723020000
11/03/2011,1293.4300537109375,1308.3499755859375,1291.989990234375,1304.280029296875,3740400000
14/03/2011,1301.18994140625,1301.18994140625,1286.3699951171875,1296.3900146484375,4050370000
15/03/2011,1288.4599609375,1288.4599609375,1261.1199951171875,1281.8699951171875,5201400000
16/03/2011,1279.4599609375,1280.9100341796875,1249.050048828125,1256.8800048828125,5833000000
17/03/2011,1261.6099853515625,1278.8800048828125,1261.6099853515625,1273.719970703125,4134950000
18/03/2011,1276.7099609375,1288.8800048828125,1276.1800537109375,1279.2099609375,4685500000
21/03/2011,1281.6500244140625,1300.5799560546875,1281.6500244140625,1298.3800048828125,4223730000
22/03/2011,1298.2900390625,1299.3499755859375,1292.699951171875,1293.77001953125,3576550000
23/03/2011,1292.18994140625,1300.510009765625,1284.050048828125,1297.5400390625,3842350000
24/03/2011,1300.6099853515625,1311.3399658203125,1297.739990234375,1309.6600341796875,4223740000
25/03/2011,1311.800048828125,1319.1800537109375,1310.1500244140625,1313.800048828125,4223740000
28/03/2011,1315.449951171875,1319.739990234375,1310.18994140625,1310.18994140625,3215170000
29/03/2011,1309.3699951171875,1319.449951171875,1305.260009765625,1319.43994140625,3482580000
30/03/2011,1321.8900146484375,1331.739990234375,1321.8900146484375,1328.260009765625,3809570000
31/03/2011,1327.43994140625,1329.77001953125,1325.030029296875,1325.8299560546875,3566270000
01/04/2011,1329.47998046875,1337.8499755859375,1328.8900146484375,1332.4100341796875,4223740000
04/04/2011,1333.56005859375,1336.739990234375,1329.0999755859375,1332.8699951171875,4223740000
05/04/2011,1332.030029296875,1338.2099609375,1330.030029296875,1332.6300048828125,3852280000
06/04/2011,1335.93994140625,1339.3800048828125,1331.0899658203125,1335.5400390625,4223740000
07/04/2011,1334.8199462890625,1338.800048828125,1326.56005859375,1333.510009765625,4005600000
08/04/2011,1336.1600341796875,1339.4599609375,1322.93994140625,1328.1700439453125,3582810000
11/04/2011,1329.010009765625,1333.77001953125,1321.06005859375,1324.4599609375,3478970000
12/04/2011,1321.9599609375,1321.9599609375,1309.510009765625,1314.1600341796875,4275490000
13/04/2011,1314.030029296875,1321.3499755859375,1309.18994140625,1314.4100341796875,3850860000
14/04/2011,1311.1300048828125,1316.7900390625,1302.4200439453125,1314.52001953125,3872630000
15/04/2011,1314.5400390625,1322.8800048828125,1313.6800537109375,1319.6800537109375,4223740000
18/04/2011,1313.3499755859375,1313.3499755859375,1294.699951171875,1305.1400146484375,4223740000
19/04/2011,1305.989990234375,1312.699951171875,1303.969970703125,1312.6199951171875,3886300000
20/04/2011,1319.1199951171875,1332.6600341796875,1319.1199951171875,1330.3599853515625,4236280000
